M-code,Date,Stat week,Tag group,Sex,Length,Time in,Time out,Fishing loc,Lat,Long,Final fate (num),Final fate spec.,FF Loc,FF Specifics,Spawning group,Date,Time
55,7/31/2020,31,1,M,499,13:01,10:07,6,63.82572,-160.76588,1,a,Unalakleet,,6,8/1/2020,8:51:51
75,8/4/2020,32,1,F,558,13:16,9:33,6,64.10417,-160.86944,1,a,Unalakleet,,6,8/6/2020,16:16:38
95,8/4/2020,32,1,M,479,10:01,10:38,6,64.10417,-160.86944,1,b,Unalakleet,,6,8/12/2020,
195,8/5/2020,32,1,M,524,9:28,14:38,6,64.025,-160.92944,1,a,Unalakleet,,6,8/7/2020,6:37:10
215,8/5/2020,32,1,M,543,10:28,14:47,6,64.025,-160.92944,1,a,Unalakleet,,6,8/8/2020,7:34:02
275,8/5/2020,32,1,M,515,11:31,15:28,6,64.025,-160.92944,1,a,Unalakleet,,6,8/6/2020,14:59:42
375,8/5/2020,32,1,M,575,12:37,16:09,6,64.025,-160.92944,1,a,Unalakleet,,6,8/8/2020,6:54:31
395,8/5/2020,32,1,M,498,14:18,16:12,6,64.025,-160.92944,1,a,Unalakleet,,6,8/6/2020,15:35:26
415,8/5/2020,32,1,M,528,14:18,16:31,6,64.025,-160.92944,1,a,Unalakleet,,6,8/7/2020,22:17:49
435,8/5/2020,32,1,M,499,14:33,16:27,6,64.025,-160.92944,1,a,Shaktoolik,,5,8/12/2020,18:59:49
475,8/6/2020,32,1,F,519,14:43,12:03,6,64.26944,-160.99417,1,a,Unalakleet,,6,8/10/2020,17:25:15
515,8/6/2020,32,1,F,584,15:12,12:57,6,64.02528,-160.94028,1,a,Unalakleet,,6,,
535,8/6/2020,32,1,M,515,15:12,13:14,6,64.02528,-160.94028,1,a,Egavik,,6,8/12/2020,8:08:07
555,8/6/2020,32,1,F,561,15:15,13:29,6,64.02528,-160.94028,1,a,Unalakleet,,6,,
575,8/6/2020,32,1,M,515,15:41,13:38,6,64.02528,-160.94028,1,a,Unalakleet,,6,,
615,8/6/2020,32,1,M,519,15:45,13:44,6,64.02528,-160.94028,1,a,Unalakleet,,6,8/8/2020,18:38:34
675,8/6/2020,32,1,M,543,15:48,13:58,6,64.02528,-160.94028,1,a,Unalakleet,,6,8/7/2020,8:24:34
715,8/6/2020,32,1,M,489,15:48,14:30,6,64.02528,-160.94028,1,a,Unalakleet,,6,8/7/2020,21:30:02
735,8/6/2020,32,1,M,543,16:02,14:45,6,64.02528,-160.94028,1,a,Unalakleet,,6,8/9/2020,20:00:00
755,8/6/2020,32,1,M,418,16:03,15:04,6,64.02528,-160.94028,1,a,Unalakleet,,6,,
815,8/3/2020,32,1,F,543,16:15,14:30,6,63.99694,-160.87861,1,a,Unalakleet,,6,8/6/2020,17:42:47
835,8/3/2020,32,1,M,585,16:17,14:51,6,63.99694,-160.87861,1,a,Unalakleet,,6,8/6/2020,15:48:38
895,8/7/2020,32,1,F,533,16:20,10:26,6,64.02056,-160.95833,1,a,Shaktoolik,,5,8/15/2020,0:00:44
935,8/7/2020,32,1,M,405,12:00,10:28,6,64.02056,-160.95833,1,a,Unalakleet,,6,8/8/2020,12:15:12
955,8/7/2020,32,1,F,505,12:20,10:31,6,64.02056,-160.95833,1,a,Egavik,,6,8/13/2020,7:42:50
995,8/7/2020,32,1,M,501,12:52,11:05,6,64.02056,-160.95833,1,a,Unalakleet,,6,,
1015,8/7/2020,32,1,M,568,13:09,11:12,6,64.02056,-160.95833,1,a,Unalakleet,,6,8/8/2020,17:44:27
1035,8/7/2020,32,1,M,612,13:23,11:17,6,64.02056,-160.95833,1,a,Unalakleet,,6,8/17/2020,16:30:13
1055,8/7/2020,32,1,F,554,13:34,11:38,6,64.02056,-160.95833,1,a,Unalakleet,,6,8/9/2020,8:35:06
1075,8/7/2020,32,1,F,509,13:34,11:52,6,64.02056,-160.95833,1,b,Unalakleet,,6,8/8/2020,
1095,8/7/2020,32,1,M,557,13:34,12:09,6,64.02056,-160.95833,1,a,Unalakleet,,6,8/8/2020,9:23:37
1135,8/7/2020,32,1,M,549,13:34,12:41,6,64.02056,-160.95833,1,a,Unalakleet,,6,8/8/2020,21:08:17
1155,8/7/2020,32,1,M,506,13:34,12:52,6,64.02056,-160.95833,1,a,Unalakleet,,6,8/9/2020,23:25:39
1175,8/7/2020,32,1,M,481,13:55,12:52,6,64.02056,-160.95833,1,a,Shaktoolik,,5,8/15/2020,11:53:03
1195,8/7/2020,32,1,M,536,14:12,12:53,6,64.02056,-160.95833,1,a,Unalakleet,,6,8/14/2020,16:16:58
1215,8/7/2020,32,1,F,570,14:26,13:27,6,64.02056,-160.95833,1,a,Egavik,,6,,
1235,8/7/2020,32,1,M,580,14:41,14:01,6,64.02056,-160.95833,1,a,Unalakleet,,6,,
1255,8/7/2020,32,1,F,541,15:00,14:41,6,64.02056,-160.95833,1,a,Unalakleet,,6,8/11/2020,19:45:54
1275,8/7/2020,32,1,M,499,15:11,15:07,6,64.02056,-160.95833,1,a,Unalakleet,,6,8/22/2020,10:00:00
1295,8/7/2020,32,1,M,537,15:19,15:11,6,64.02056,-160.95833,1,a,Unalakleet,,6,8/15/2020,10:51:29
1315,8/7/2020,32,1,M,542,14:25,15:14,6,64.02056,-160.95833,1,a,Unalakleet,,6,8/10/2020,22:08:40
1335,8/7/2020,32,1,M,544,14:48,15:18,6,64.02056,-160.95833,1,a,Shaktoolik,,5,,
1375,8/7/2020,32,1,M,543,15:30,15:29,6,64.02056,-160.95833,1,a,Koyuk,,4,8/20/2020,10:32:37
1455,8/10/2020,33,1,F,526,15:32,11:51,6,64.02694,-160.92306,1,a,Unalakleet,,6,8/13/2020,13:03:49
1475,8/10/2020,33,1,M,584,10:11,11:53,6,64.02694,-160.92306,1,b,Unalakleet,,6,8/12/2020,
1495,8/10/2020,33,1,F,455,10:12,12:10,6,64.02694,-160.92306,1,a,Unalakleet,,6,8/12/2020,7:46:52
1515,8/10/2020,33,1,F,483,10:15,13:08,6,64.02694,-160.92306,1,a,Unalakleet,,6,8/11/2020,10:17:28
1535,8/10/2020,33,1,F,533,10:17,13:22,6,64.14694,-160.92083,1,a,Unalakleet,,6,,
1575,8/10/2020,33,1,M,544,10:50,13:43,6,64.14694,-160.92083,1,a,Egavik,,6,8/17/2020,22:52:21
1615,8/10/2020,33,1,M,542,11:02,14:07,6,64.14694,-160.92083,1,a,Unalakleet,,6,8/11/2020,19:55:09
1675,8/11/2020,33,1,M,565,11:09,13:28,6,64.02361,-160.93472,1,a,Shaktoolik,,5,8/16/2020,7:27:36
1695,8/11/2020,33,1,M,525,11:10,14:28,6,64.21056,-161.00111,1,a,Unalakleet,,6,8/15/2020,9:09:31
1735,8/12/2020,33,1,F,555,11:33,10:32,6,64.02222,-160.88222,1,a,Unalakleet,,6,,
1755,8/12/2020,33,1,F,485,11:45,10:53,6,64.02222,-160.88222,1,a,Unalakleet,,6,8/16/2020,10:54:30
1775,8/12/2020,33,1,M,508,12:04,10:53,6,64.02222,-160.88222,1,a,Unalakleet,,6,,
1795,8/12/2020,33,1,M,486,12:33,10:53,6,64.02222,-160.88222,1,a,Unalakleet,,6,8/13/2020,10:39:49
1815,8/12/2020,33,1,F,554,12:33,10:54,6,64.02222,-160.88222,1,a,Egavik,,6,8/16/2020,19:49:20
1855,8/12/2020,33,1,M,536,12:43,10:59,6,64.02222,-160.88222,1,a,Unalakleet,,6,8/13/2020,2:13:31
1875,8/12/2020,33,1,M,530,12:44,11:13,6,64.02222,-160.88222,1,a,Unalakleet,,6,8/13/2020,21:04:37
1915,8/12/2020,33,1,M,524,12:45,11:13,6,64.02222,-160.88222,1,a,Egavik,,6,,
1955,8/12/2020,33,1,F,526,13:22,11:30,6,64.02222,-160.88222,1,a,Egavik,,6,8/19/2020,16:35:16
1975,8/12/2020,33,1,M,518,13:57,11:30,6,64.02222,-160.88222,1,a,Unalakleet,,6,,
1995,8/12/2020,33,1,M,553,14:37,11:33,6,64.02222,-160.88222,1,a,Unalakleet,,6,8/13/2020,6:55:50
2015,8/12/2020,33,1,M,519,14:57,11:36,6,64.02222,-160.88222,1,a,Unalakleet,,6,8/13/2020,11:52:23
2115,8/12/2020,33,1,M,502,14:58,12:02,6,64.02222,-160.88222,1,a,Unalakleet,,6,8/12/2020,23:50:17
2135,8/12/2020,33,1,F,491,14:58,12:02,6,64.02222,-160.88222,1,a,Unalakleet,,6,8/15/2020,15:26:08
2155,8/12/2020,33,1,M,561,14:59,12:03,6,64.02222,-160.88222,1,a,Unalakleet,,6,8/15/2020,
2175,8/12/2020,33,1,M,499,14:59,12:05,6,64.02222,-160.88222,1,a,Golsovia,,6,8/15/2020,2:24:07
2215,8/12/2020,33,1,M,555,15:24,12:10,6,64.02222,-160.88222,1,a,Egavik,,6,8/17/2020,18:47:05
2235,8/12/2020,33,1,F,503,15:24,12:13,6,64.02222,-160.88222,1,a,Unalakleet,,6,8/13/2020,18:12:09
2315,8/12/2020,33,1,F,518,15:25,12:28,6,64.02222,-160.88222,1,b,Unalakleet,,6,8/14/2020,
2335,8/12/2020,33,1,F,509,16:00,12:30,6,64.02222,-160.88222,1,b,Unalakleet,,6,8/26/2020,
2355,8/12/2020,33,1,F,568,11:44,12:42,6,64.02222,-160.88222,1,a,Unalakleet,,6,,
2375,8/12/2020,33,1,F,532,11:48,12:48,6,64.02222,-160.88222,1,a,Unalakleet,,6,8/13/2020,14:41:49
2395,8/12/2020,33,1,M,495,12:06,12:50,6,64.02222,-160.88222,1,a,Unalakleet,,6,8/17/2020,15:13:58
2415,8/17/2020,34,1,M,510,13:03,13:43,6,64.02111,-160.905,1,a,Shaktoolik,,5,,
2475,8/17/2020,34,1,M,564,13:17,14:06,6,64.02111,-160.905,1,b,Egavik,,6,8/18/2020,
2495,8/17/2020,34,1,F,528,13:37,14:09,6,64.02111,-160.905,1,a,Unalakleet,,6,,
2515,8/17/2020,34,1,F,527,13:38,14:11,6,64.02111,-160.905,1,a,Unalakleet,,6,8/18/2020,18:51:30
2555,8/17/2020,34,1,F,530,13:51,14:15,6,64.02111,-160.905,1,a,Unalakleet,,6,8/19/2020,16:32:17
2575,8/17/2020,34,1,F,548,14:01,14:25,6,64.02111,-160.905,1,a,Unalakleet,,6,,
2615,8/17/2020,34,1,F,563,14:02,14:28,6,64.02111,-160.905,1,a,Unalakleet,,6,8/19/2020,10:01:22
2675,8/17/2020,34,1,F,559,14:02,14:54,6,64.02111,-160.905,1,b,Unalakleet,,6,8/26/2020,9:00:00
2695,8/17/2020,34,1,M,491,13:22,14:54,6,64.02111,-160.905,1,a,Unalakleet,,6,,
2715,8/17/2020,34,1,M,528,14:24,15:03,6,64.02111,-160.905,1,a,Unalakleet,,6,,
2735,8/17/2020,34,1,M,539,10:20,15:04,6,64.02111,-160.905,1,a,Unalakleet,,6,,
2775,8/17/2020,34,1,M,549,10:26,15:19,6,64.02111,-160.905,1,a,Unalakleet,,6,,
2795,8/17/2020,34,1,F,548,10:40,15:32,6,64.02111,-160.905,1,a,Unalakleet,,6,,
2815,8/17/2020,34,1,F,539,10:43,15:34,6,64.02111,-160.905,1,b,Unalakleet,,6,8/22/2020,20:30:00
2855,8/18/2020,34,1,F,468,10:45,11:15,6,64.02944,-160.88694,1,a,Unalakleet,,6,,
2915,8/18/2020,34,1,M,561,10:48,11:25,6,64.02944,-160.88694,1,a,Unalakleet,,6,,
2935,8/18/2020,34,1,M,554,10:50,11:27,6,64.02944,-160.88694,1,a,Unalakleet,,6,,
2955,8/18/2020,34,1,F,503,10:51,11:35,6,64.02944,-160.88694,1,a,Unalakleet,,6,8/19/2020,14:55:59
2975,8/18/2020,34,1,M,553,11:02,11:35,6,64.02944,-160.88694,1,a,Unalakleet,,6,,
2995,8/18/2020,34,1,F,547,11:05,11:35,6,64.02944,-160.88694,1,a,Egavik,,6,8/21/2020,20:47:43
3075,8/18/2020,34,1,F,566,11:07,12:01,6,64.02944,-160.88694,1,a,Unalakleet,,6,8/19/2020,20:03:50
3115,8/18/2020,34,1,M,544,11:17,12:02,6,64.02944,-160.88694,1,a,Egavik,,6,8/22/2020,21:40:34
3175,8/18/2020,34,1,M,526,11:17,12:16,6,64.02944,-160.88694,1,a,Unalakleet,,6,,
3215,8/24/2020,35,1,M,558,11:23,11:01,6,64.01944,-160.89722,1,a,Unalakleet,,6,8/25/2020,21:10:09
3335,8/24/2020,35,1,M,504,11:25,12:23,6,64.01944,-160.89722,1,a,Unalakleet,,6,8/24/2020,22:08:27
3395,8/24/2020,35,1,F,512,11:27,13:31,6,64.01944,-160.89722,1,a,Unalakleet,,6,8/24/2020,21:38:32
3475,8/24/2020,35,1,M,528,11:29,14:42,6,64.01944,-160.89722,1,a,Unalakleet,,6,,
3495,8/24/2020,35,1,M,546,11:45,14:45,6,64.01944,-160.89722,1,a,Unalakleet,,6,8/25/2020,10:57:22
3515,8/24/2020,35,1,M,503,11:47,15:11,6,64.01944,-160.89722,1,a,Unalakleet,,6,8/25/2020,18:08:35
