M-code,Date,Stat week,Tag group,Card #,Fish #,Direction,Time in,Sex,Length,Time out,Notes,Age,Lat,Long,Mesh size,Secchi dis,Secchi re,Air temp,Water temp,Wind sp,Wind dir,Cloud cov,Final fate (num),Final fate spec.,FF Loc,Date,Time,Gear,Final Notes
15,7/30/2020,31,1,1,1,S,13:01,M,540,13:12,,3,63.97997,-160.88122,7/8,0.5,0.4,56,56,12,SE,100,3,b,6,8/8/2020,20:00:00,GN,Will be deleted from final version
35,7/30/2020,31,1,1,2,N,13:16,M,534,13:20,,2.1,63.97997,-160.88122,7/8,0.5,0.4,56,56,12,SE,100,3,c,6,8/1/2020,16:00:00,5/8,Will be deleted from final version
55,7/31/2020,31,1,2,1,S,10:01,M,499,10:07,,2.1,63.82572,-160.76588,7/8,0.5,0.4,59,58,5,E,99,1,a,Unalakleet,8/1/2020,8:51:51,,
75,8/4/2020,32,1,3,1,S,9:28,F,558,9:33,,1.1,63.91225,-160.81984,5/8,0.4,0.3,58,58,2,S,87,1,a,Unalakleet,8/6/2020,16:16:38,,
95,8/4/2020,32,1,3,2,S,1028,M,479,10:38,,2.1,63.91225,-160.81984,5/8,0.4,0.3,58,58,2,S,87,1,b,Unalakleet,8/12/2020,,5 7/8,Was detected in Golsovia
115,8/4/2020,32,1,3,3,S,11:31,F,522,11:35,,3,63.91225,-160.81984,5/8,0.4,0.3,58,58,2,S,87,3,a,,,,,
135,8/5/2020,32,1,4,1,S,12:37,M,512,12:41,,1.1,65.85706,-160.78398,5/8,0.4,0.2,,,1,W,89,4,,,,,,
155,8/5/2020,32,1,4,2,N,14:18,F,529,14:26,,2.1,64.01717,-160.91177,5/8,0.7,0.5,,,7,NW,75,4,,,,,,
175,8/5/2020,32,1,4,3,N,14:18,M,583,14:30,,2.1,64.01717,-160.91177,5/8,0.7,0.5,,,7,NW,75,3,a,,,,,
195,8/5/2020,32,1,4,4,N,14:33,M,524,14:38,,2.1,64.01717,-160.91177,5/8,0.7,0.5,,,7,NW,75,1,a,Unalakleet,8/7/2020,6:37:10,,
215,8/5/2020,32,1,4,5,N,14:43,M,543,14:47,,2.1,64.01717,-160.91177,5/8,0.7,0.5,,,7,NW,75,1,a,Unalakleet,8/8/2020,7:34:02,,
235,8/5/2020,32,1,4,6,S,15:12,M,505,15:16,,2.1,64.01717,-160.91177,5/8,0.7,0.5,,,7,NW,75,3,a,,,,,
255,8/5/2020,32,1,4,7,N,15:12,F,475,15:23,,2.1,64.01717,-160.91177,5/8,0.7,0.5,,,7,NW,75,3,c,5,8/9/2020,18:00:00,,Found on NSSP tender
275,8/5/2020,32,1,4,8,N,15:15,M,515,15:28,,2.1,64.01717,-160.91177,5/8,0.7,0.5,,,7,NW,75,1,a,Unalakleet,8/6/2020,14:59:42,,
295,8/5/2020,32,1,4,9,N,15:41,M,520,15:45,,2.1,64.01717,-160.91177,5/8,0.7,0.5,,,7,NW,75,4,,,,,,
315,8/5/2020,32,1,4,10,N,15:45,M,524,15:53,,1.1,64.01717,-160.91177,5/8,0.7,0.5,,,7,NW,75,4,,,,,,
335,8/5/2020,32,1,5,1,S,15:48,M,470,15:58,,3,64.01717,-160.91177,5/8,0.7,0.5,,,7,NW,75,4,,,,,,
355,8/5/2020,32,1,5,2,N,15:48,M,464,16:06,,2.1,64.01717,-160.91177,5/8,0.7,0.5,,,7,NW,75,3,a,,,,,
375,8/5/2020,32,1,5,3,N,16:02,M,575,16:09,,2.1,64.01717,-160.91177,5/8,0.7,0.5,,,7,NW,75,1,a,Unalakleet,8/8/2020,6:54:31,,
395,8/5/2020,32,1,5,4,S,16:03,M,498,16:12,,1.1,64.01717,-160.91177,5/8,0.7,0.5,,,7,NW,75,1,a,Unalakleet,8/6/2020,15:35:26,,
415,8/5/2020,32,1,5,5,S,16:15,M,528,16:31,,2.1,64.01717,-160.91177,5/8,0.7,0.5,,,7,NW,75,1,a,Unalakleet,8/7/2020,22:17:49,,
435,8/5/2020,32,1,5,6,N,16:17,M,499,16:27,,2.1,64.01717,-160.91177,5/8,0.7,0.5,,,7,NW,75,1,a,Shaktoolik,8/12/2020,18:59:49,,
455,8/5/2020,32,1,5,7,S,16:20,F,576,16:35,,3,64.01717,-160.91177,5/8,0.7,0.5,,,7,NW,75,3,b,6,8/8/2020,20:00:00,5 1/2,
475,8/6/2020,32,1,6,1,S,12:00,F,519,12:03,,1.1,64.03183,-160.92131,5/8,2.2,2.1,56,57,7,E,95,1,a,Unalakleet,8/10/2020,17:25:15,,
495,8/6/2020,32,1,6,2,N,12:20,M,517,12:26,,2.1,64.01718,-160.91241,5/8,2.2,2.1,59,57,5,NW,60,3,a,,,,,
515,8/6/2020,32,1,6,3,S,12:52,F,584,12:57,,2.1,64.01718,-160.91241,5/8,2.2,2.1,59,57,5,NW,60,1,a,Unalakleet,,,,
535,8/6/2020,32,1,6,4,N,13:09,M,515,13:14,,1.1,64.01718,-160.91241,5/8,2.2,2.1,59,57,5,NW,60,1,a,Egavik,8/12/2020,8:08:07,,
555,8/6/2020,32,1,6,5,N,13:23,F,561,13:29,,2.1,64.01718,-160.91241,5/8,2.2,2.1,59,57,5,NW,60,1,a,Unalakleet,,,,Entered Unalakleet 8/8 left 8/19
575,8/6/2020,32,1,6,6,N,13:34,M,515,13:38,,1.1,64.01718,-160.91241,5/8,2.2,2.1,59,57,5,NW,60,1,a,Unalakleet,,,,
595,8/6/2020,32,1,6,7,N,13:34,M,528,13:41,,2.1,64.01718,-160.91241,5/8,2.2,2.1,59,57,5,NW,60,4,,,,,,
615,8/6/2020,32,1,6,8,N,13:34,M,519,13:44,,2.1,64.01718,-160.91241,5/8,2.2,2.1,59,57,5,NW,60,1,a,Unalakleet,8/8/2020,18:38:34,,
635,8/6/2020,32,1,6,9,N,13:34,M,611,13:47,,3,64.01718,-160.91241,5/8,2.2,2.1,59,57,5,NW,60,3,b,6,8/8/2020,20:00:00,5 1/2,
655,8/6/2020,32,1,6,10,N,13:34,F,536,13:49,,2.1,64.01718,-160.91241,5/8,2.2,2.1,59,57,5,NW,60,3,b,6,8/9/2020,17:00:00,5 3/4,
675,8/6/2020,32,1,7,1,N,13:55,M,543,13:58,,3.1,64.01718,-160.91241,5/8,2.2,2.1,59,57,5,NW,60,1,a,Unalakleet,8/7/2020,8:24:34,,
695,8/6/2020,32,1,7,2,N,14:12,F,547,14:16,,3.1,64.01718,-160.91241,5/8,2.2,2.1,59,57,5,NW,60,3,a,,,,,
715,8/6/2020,32,1,7,3,N,14:26,M,489,14:30,,2.1,64.01718,-160.91241,5/8,2.2,2.1,59,57,5,NW,60,1,a,Unalakleet,8/7/2020,21:30:02,,
735,8/6/2020,32,1,7,4,N,14:41,M,543,14:45,,2.1,64.01718,-160.91241,5/8,2.2,2.1,59,57,5,NW,60,1,a,Unalakleet,8/9/2020,20:00:00,RR,Not detected by inriver rec. Downstream recap?
755,8/6/2020,32,1,7,5,N,15:00,M,418,15:04,,7,64.02528,-160.94028,5/8,2.2,2.1,59,57,5,NW,60,1,a,Unalakleet,,,,"Sockeye, Entered Unalakleet on 8/7, left on 8/20"
775,8/6/2020,32,1,7,6,N,15:11,M,564,15:15,,2.1,64.01718,-160.91241,5/8,2.2,2.1,59,57,5,NW,60,4,,,,,,
795,8/6/2020,32,1,7,7,S,15:19,M,435,15:37,,7,64.02528,-160.94028,5/8,2.2,2.1,59,57,5,NW,60,4,,,,,,Sockeye
815,8/3/2020,32,1,,1,S,14:25,F,543,14:30,,,63.95282,-160.85172,5/8,2.2,2.1,65,59,15,NW,60,1,a,Unalakleet,8/6/2020,17:42:47,,
835,8/3/2020,32,1,,2,S,14:48,M,585,14:51,,,63.95282,-160.85172,5/8,2.2,2.1,65,59,15,NW,60,1,a,Unalakleet,8/6/2020,15:48:38,,
855,8/6/2020,32,1,7,8,N,15:30,F,551,15:38,,2.1,64.01718,-160.91241,5/8,2.2,2.1,59,57,5,NW,60,4,,,,,,
875,8/6/2020,32,1,7,9,N,15:32,M,544,15:38,,3,64.01718,-160.91241,5/8,2.2,2.1,59,57,5,NW,60,3,b,6,8/9/2020,12:00:00,5 3/4,
895,8/7/2020,32,1,8,1,S,10:11,F,533,10:26,,1.1,64.01690,-160.91451,5/8,0.8,0.5,60,58,7,S,85,1,a,Shaktoolik,8/15/2020,0:00:44,,
915,8/7/2020,32,1,8,2,N,10:12,F,576,10:26,,2.1,64.01690,-160.91451,5/8,0.8,0.5,60,58,7,S,85,3,a,,,,,
935,8/7/2020,32,1,8,3,N,10:15,M,405,10:28,,2.1,64.01690,-160.91451,5/8,0.8,0.5,60,58,7,S,85,1,a,Unalakleet,8/8/2020,12:15:12,,
955,8/7/2020,32,1,8,4,N,10:17,F,505,10:31,,1.1,64.01690,-160.91451,5/8,0.8,0.5,60,58,7,S,85,1,a,Egavik,8/13/2020,7:42:50,,
975,8/7/2020,32,1,8,5,N,10:50,M,599,10:55,,2.1,64.01690,-160.91451,5/8,0.8,0.5,60,58,7,S,85,4,,,,,,
995,8/7/2020,32,1,8,6,N,11:02,M,501,11:05,,2.1,64.01690,-160.91451,5/8,0.8,0.5,60,58,7,S,85,1,a,Unalakleet,,,,
1015,8/7/2020,32,1,8,7,S,11:09,M,568,11:12,,3.1,64.01690,-160.91451,5/8,0.8,0.5,60,58,7,S,85,1,a,Unalakleet,8/8/2020,17:44:27,,
1035,8/7/2020,32,1,8,8,N,11:10,M,612,11:17,,1.1,64.01690,-160.91451,5/8,0.8,0.5,60,58,7,S,85,1,a,Unalakleet,8/17/2020,16:30:13,,"Entered Egavik 8/12, left 8/16"
1055,8/7/2020,32,1,8,9,N,11:33,F,554,11:38,,2.1,64.01690,-160.91451,5/8,0.8,0.5,60,58,7,S,85,1,a,Unalakleet,8/9/2020,8:35:06,,
1075,8/7/2020,32,1,8,10,N,11:45,F,509,11:52,,3,64.01690,-160.91451,5/8,0.8,0.5,60,58,7,S,85,1,b,Unalakleet,8/8/2020,,5 7/8,
1095,8/7/2020,32,1,9,1,N,12:04,M,557,12:09,,1.1,64.01690,-160.91451,5/8,0.8,0.5,60,58,7,S,85,1,a,Unalakleet,8/8/2020,9:23:37,,
1115,8/7/2020,32,1,9,2,S,12:33,M,534,12:38,,2.1,64.01690,-160.91451,5/8,0.8,0.5,60,58,7,S,85,3,a,,,,,
1135,8/7/2020,32,1,9,3,N,12:33,M,549,12:41,,2.1,64.01690,-160.91451,5/8,0.8,0.5,60,58,7,S,85,1,a,Unalakleet,8/8/2020,21:08:17,,
1155,8/7/2020,32,1,9,4,S,12:43,M,506,12:52,,1.1,64.01690,-160.91451,5/8,0.8,0.5,60,58,7,S,85,1,a,Unalakleet,8/9/2020,23:25:39,,
1175,8/7/2020,32,1,9,5,N,12:44,M,481,12:52,,2.1,64.01690,-160.91451,5/8,0.8,0.5,60,58,7,S,85,1,a,Shaktoolik,8/15/2020,11:53:03,,"Entered Egavik 8/9, left 8/11"
1195,8/7/2020,32,1,9,6,N,12:45,M,536,12:53,,2.1,64.01690,-160.91451,5/8,0.8,0.5,60,58,7,S,85,1,a,Unalakleet,8/14/2020,16:16:58,,
1215,8/7/2020,32,1,9,7,N,13:22,F,570,13:27,,2.1,64.01690,-160.91451,5/8,0.8,0.5,60,58,7,S,85,1,a,Egavik,,,,
